Period,"Gross Domestic Product, Year On Year Growth Rate | GDP In Chained (2015) Dollars","Food & Beverage Services Index, (2017 = 100), In Chained Volume Terms | Total","Retail Sales Index, (2017 = 100), In Chained Volume Terms | Total",Sea Cargo And Shipping Statistics (Total Cargo) | Total Container Throughput (Thousand Twenty-Foot Equivalent Units),Air Cargo Tonnage | Total Direct Tonnage (Tonne),Merchandise Imports By Commodity Division | Total Merchandise Imports,M1 Money Supply,Index Of Industrial Production (2019 = 100) | Total,Domestic Exports Of Major Non-Oil Products | Total Electronic Products,Composite Leading Index (2015 = 100) | Quarterly Composite Leading Index,"Business Expectations For The Services Sector - General Business Outlook For The Next 6 Months, Weighted Percentages Of Up, Same, Down | Net Weighted Balance - Total Services Sector","Domestic Wholesale Trade Index, (2017 = 100), In Chained Volume Terms | Total","Foreign Wholesale Trade Index, (2017 = 100), In Chained Volume Terms | Total",Job Vacancies By Industry And Occupational Group (SSIC 2020) (End Of Period) | Total,Unemployment Rate (End Of Period) | Total Unemployment Rate
1997-11-30,8.366666666666667,115.671,-7.457006500452568,9.119868936015283,88886.8,5.638458119157153,2.8122146850877883,8.588261239406435,-2.8836462397770157,1.72274463708492,-9.333333333333332,10.92423465541826,7.174084130623474,-9.247009886689384,-3.0303030303030303
1997-12-31,7.1,125.698,-14.924324231672417,8.823265416030889,89187.0,9.650037184367498,1.7414940828402337,10.015138472498442,-7.107351247894177,0.6024096385542022,-22.0,5.6929511832243485,4.541368131419077,-14.209115281501338,0.0
1998-01-31,5.233333333333333,111.687,-6.742952558687754,3.519724936663038,90339.6,-12.398536283778984,-3.75702405424424,-5.5085678352460254,-2.723871642629605,-1.2823955554759976,-25.666666666666668,3.9704047262092352,2.913383153528952,-24.25597024452612,5.555555555555558
1998-02-28,3.3666666666666667,104.727,-2.740800728855608,8.792691788643214,91613.6,16.87297519825872,-5.7714212030689165,16.622094994161742,24.014352497761493,-3.1672007495061973,-29.333333333333332,2.2478582691941216,1.2853981756388264,-34.3028252075509,11.111111111111116
1998-03-31,1.5,107.898,-19.49591975518531,10.538286580743003,89121.0,-3.993601878000274,-6.520081922581056,9.797013923838293,8.234826415701658,-5.052005943536397,-33.0,0.5253118121790079,-0.342586802251299,-44.34968017057569,16.666666666666675
1998-04-30,0.19999999999999996,100.269,7.028697179185106,10.239536720189534,89185.8,-11.83516528562053,-4.515273204390924,3.0529321326598025,-3.062966676911949,-6.482359193501149,-29.333333333333332,0.335840832780369,-2.1715339693859006,-48.65668461781854,21.637426900584806
1998-05-31,-1.1,109.08,-4.750884240862852,8.310742121314796,91843.2,-20.41355977570222,-8.44379024305354,-3.2733688289593887,-6.724571644452226,-7.912712443465901,-25.666666666666668,0.1463698533817301,-4.000481136520502,-52.963689065061395,26.608187134502934
1998-06-30,-2.4,100.556,-6.381637028629084,14.4800202754076,86418.4,-9.138533678916891,-11.782681671069318,-0.1882312058380519,3.69026037757636,-9.343065693430653,-22.0,-0.0431011260169089,-5.829428303655105,-57.27069351230425,31.578947368421066
1998-07-31,-3.2666666666666666,100.063,-10.818736013581288,6.141052294898475,79605.4,-16.02796449439029,-10.288680343944367,-5.59898827316625,-5.0623305909130885,-9.112385926607729,-25.666666666666668,-3.0219738136004537,-6.144710871118487,-59.92934126530298,71.05263157894737
1998-08-31,-4.133333333333333,101.887,-9.125911185135516,4.095176432502434,78931.6,-15.357070353878354,-9.7943382184566,-6.50611379971936,4.678566331603773,-8.881706159784803,-29.333333333333332,-6.000846501183998,-6.459993438581868,-62.58798901830171,110.52631578947368
1998-09-30,-5.0,98.67,-15.016020972909994,5.649904730345456,80564.0,-19.258450669281245,-11.038525245602017,-0.6786144736152577,-1.183079904319484,-8.65102639296188,-33.0,-8.979719188767543,-6.7752760060452495,-65.24663677130044,150.0
1998-10-31,-4.2,105.088,-8.79736701654511,1.3993710691823755,80564.0,-22.90513060585956,-7.70812589289579,-7.913768738396742,-6.19159167616049,-7.2643569166652044,-31.666666666666668,-5.551785382881139,-5.392443520021898,-63.70609118086696,141.66666666666666
1998-11-30,-3.4000000000000004,104.968,-0.9380487696445728,5.780298607056467,80564.0,-21.949984722071047,-4.773367778299664,-3.3887486581367643,-7.598716541207717,-5.877687440368529,-30.333333333333332,-2.1238515769947357,-4.009611033998546,-62.165545590433474,133.33333333333334
1998-12-31,-2.6,113.908,7.664101220937258,6.763444407786201,80564.0,-18.100014820548527,-0.9879720401731796,2.9760138143161585,-6.140462123789792,-4.491017964071853,-29.0,1.3040822288916676,-2.626778547975195,-60.62499999999999,125.0
1999-01-31,-0.9999999999999998,100.246,-9.76003651236681,4.728607639192384,81523.2,-6.060266014043691,1.1983359446755548,9.935780121784845,1.0918607545368442,-1.8985503172059603,-25.0,-0.47011477650386024,-4.1020619343379785,-52.29406130268199,111.90476190476191
1999-02-28,0.6000000000000005,93.597,12.666857484842977,9.150763358778624,80564.0,-18.752246176699984,7.526047903053534,3.772366126219251,-3.404959205009284,0.6939173296599321,-21.0,-2.244311781899388,-5.577345320700762,-43.963122605363985,98.80952380952382
1999-03-31,2.2,105.427,22.53312919064463,0.7239750038103843,82565.8,-5.143848992941558,8.938778424571293,6.778711484593836,-2.259083345752877,3.2863849765258246,-17.0,-4.018508787294916,-7.052628707063546,-35.63218390804598,85.71428571428574
1999-04-30,3.2666666666666666,98.338,-2.3634966458285667,2.889207258834769,85934.0,9.284711893677034,8.79172045168055,5.733162830349525,6.954564931766516,6.699780000453607,-7.666666666666666,-4.997139493367923,-4.323567757999898,-23.4057491324146,71.80952380952382
1999-05-31,4.333333333333334,105.836,12.01806262320635,7.109894407508799,92103.0,15.782570700460653,14.518045094917898,19.02807634681778,16.20063775410452,10.11317502438139,1.6666666666666679,-5.975770199440929,-1.5945068089362504,-11.17931435678322,57.90476190476191
1999-06-30,5.4,105.321,21.404194171269488,0.19924728802303,94774.0,8.781949594772986,18.91213859375189,19.964023558766364,10.060416955499909,13.526570048309171,11.0,-6.954400905513936,1.1345541401273973,1.0471204188481575,43.99999999999999
1999-07-31,6.266666666666667,100.231,12.801765163969892,4.083170106976031,101697.2,13.333008483732357,19.43670160237012,17.985020094994496,16.98403099451489,14.475177249969628,15.333333333333332,-5.496909895691134,-0.29691774512654945,21.343241569554685,27.999999999999993
1999-08-31,7.133333333333334,98.034,28.111015900218984,10.8692271808428,94235.6,17.868915129555994,12.8045249371316,19.28389843486784,5.9988617573886405,15.423784451630086,19.666666666666664,-4.039418885868333,-1.7283896303804962,41.63936272026122,11.999999999999993
1999-09-30,8.0,103.517,36.746235769372014,5.528111032698191,95689.2,16.967973602884847,15.416964278548662,14.382567863455307,5.372252079466988,16.372391653290542,24.0,-2.581927876045531,-3.1598615156344434,61.935483870967744,-4.000000000000004
1999-10-31,7.7,107.788,32.01258168340972,7.132888819972094,90711.4,24.814307662584987,11.969259876007545,24.21990190473324,16.28754226703213,16.244081373876035,24.0,-3.130055984621131,-1.9763311636817142,66.15804744837003,-11.92592592592593
1999-11-30,7.3999999999999995,109.714,24.74363289577022,5.535404510329611,90711.4,32.69615912150885,14.968940748504831,19.685275834109127,25.35185646867884,16.115771094461532,24.0,-3.6781840931967307,-0.7928008117289851,70.38061102577232,-19.851851851851855
1999-12-31,7.1,116.93,16.74463864665594,7.200247218788602,93343.6,25.068913052425824,14.207517869533138,7.31541162291045,28.471648931972847,15.987460815047028,24.0,-4.2263122017723305,0.3907295402237443,74.60317460317461,-27.77777777777778
2000-01-31,7.733333333333333,106.988,43.202287626198775,11.325321315306304,84064.0,22.101193160914324,11.514724411130327,28.48754502254911,8.052347105357317,14.446185997910137,24.0,0.06791717914947615,2.42967738985446,68.3862433862434,-22.36467236467237
2000-02-29,8.366666666666667,104.2,10.905563638883107,20.90217676370312,80781.0,29.66896044728722,7.3103735965383665,9.69810146280734,20.02270215631374,12.904911180773244,24.0,4.362146560071283,4.468625239485176,62.16931216931218,-16.95156695156696
2000-03-31,9.0,108.671,28.79486406135552,14.428387682530076,100229.0,22.77133210195983,10.636976732152403,3.713154631307813,18.528988131750346,11.363636363636353,24.0,8.656375940993088,6.507573089115892,55.95238095238096,-11.538461538461553
2000-04-30,8.733333333333333,104.326,28.737954946714584,12.570588690338049,92089.0,15.141919750677534,6.941689805632678,9.531488467186922,2.1605708033209936,8.89963464431549,24.666666666666668,7.907502330176379,7.839755054977641,55.43630232749404,-0.2849002849002922
2000-05-31,8.466666666666667,111.064,28.588675847674395,9.106177888126176,93726.0,24.381573862133955,5.798123770301911,20.071694395796857,7.740808129075938,6.435632924994628,25.333333333333332,7.158628719359668,9.17193702083939,54.920223702607124,10.968660968660968
2000-06-30,8.2,107.11,27.76904440457917,9.46383856238031,96219.0,28.861685071792408,11.63049752402554,11.456418690142222,8.957545195559335,3.9716312056737646,26.0,6.409755108542958,10.50411898670114,54.4041450777202,22.222222222222232
2000-07-31,8.633333333333333,107.924,32.236413147700695,8.02692530399538,101048.0,18.95723418328748,8.115650182203705,11.057779154086369,14.940424359772496,2.8776391945871076,26.0,9.967522637096119,11.29567528406339,45.96398516469527,3.703703703703713
2000-08-31,9.066666666666666,106.87,18.20073575861172,5.687237026647951,98894.0,26.71407387268556,11.123925793611722,20.33637180639363,30.86152577469889,1.783647183500451,26.0,13.525290165649281,12.08723158142564,37.523825251670345,-14.814814814814806
2000-09-30,9.5,116.72,19.78909299244458,3.5740823302125246,101143.0,29.680836598496363,10.298095443388288,14.522936414585196,15.845245102263284,0.6896551724137945,26.0,17.08305769420244,12.87878787878789,29.08366533864541,-33.33333333333333
2000-10-31,9.466666666666667,112.417,12.011229936646895,3.560573165436387,100633.0,26.189320439873963,13.008567179394092,18.87020977665812,15.856890334972062,-1.2969866418142313,18.333333333333332,15.051904326475318,11.666650510220578,19.54062537727876,-24.786324786324784
2000-11-30,9.433333333333334,116.555,26.251978701971517,-0.9638374178123188,97057.0,21.10575502459737,10.383812246731171,17.591709740553018,4.151913073816749,-3.283628456042257,10.666666666666666,13.020750958748195,10.454513141653264,9.997585415912113,-16.239316239316242
2000-12-31,9.4,126.343,26.969191805853864,-8.330931104064565,95276.0,17.048072233990407,6.920161624733612,20.125494408906697,-11.833217804116414,-5.270270270270283,3.0,10.989597591021072,9.242375773085952,0.454545454545463,-7.692307692307699
2001-01-31,8.066666666666666,112.767,13.420995435774818,-11.440137941374928,77532.0,11.023584374311124,11.399107604511771,-10.550988198157874,2.084835462090573,-5.917141631427355,3.6666666666666665,9.676858641936747,8.539977124182151,-7.839463335646534,-15.273132664437012
2001-02-28,6.733333333333334,104.694,29.778638512317524,-16.413593637020973,79587.0,15.39649607536453,11.303537132145848,13.627078250014169,-0.6006670900549849,-6.564012992584426,4.333333333333333,8.364119692852423,7.83757847527835,-16.13347212583853,-22.853957636566328
2001-03-31,5.4,113.738,27.289910343904733,-11.280084633694798,89131.0,2.205313159793687,8.045023696682453,6.866104072294155,-10.958020171030292,-7.210884353741498,5.0,7.051380743768099,7.135179826374549,-24.42748091603053,-30.43478260869564
2001-04-30,3.7666666666666666,103.806,12.737727400406484,-13.070368334249594,79243.0,-0.415761202187348,11.373900255088753,1.0226884349449294,-5.991131047670095,-8.217897436373367,-3.0,2.893552203726772,3.852699500733603,-30.267090185631087,-33.16864295125164
2001-05-31,2.1333333333333333,111.624,12.904201145767026,-12.469044909979257,80325.0,-8.269520494070271,11.03557596457112,-10.059481756648958,-8.449954521969428,-9.224910519005237,-11.0,-1.2642763363145546,0.5702191750926566,-36.10669945523165,-35.902503293807634
2001-06-30,0.5,109.841,2.022117360970399,-12.904528022606463,81279.0,-13.666250876802511,3.4175783636022805,-16.19398936747315,-21.19401155585917,-10.231923601637105,-19.0,-5.422104876355882,-2.7122611505482896,-41.94630872483221,-38.63636363636363
2001-07-31,-1.3,108.176,-0.9382794825686048,-9.313232830820771,78597.0,-12.320695487343167,3.4763060432156045,-13.728041639557588,-32.95197263379264,-10.428588337164465,-26.333333333333332,-10.228187888975341,-1.9170983477408718,-46.79136631038197,-9.090909090909097
2001-08-31,-3.1,106.609,12.089345782640116,-10.450534138411516,83382.0,-17.436182781917164,5.296615532604276,-21.19065400618799,-37.15245137974974,-10.625253072691823,-33.666666666666664,-15.034270901594802,-1.1219355449334538,-51.63642389593173,20.45454545454544
